recall_id,organization,product_name,issue,category,updated_at,data_received_at,issue_category
74524,Transport Canada,SUV recalled by SUBARU,Engine,SUV,2023-11-01,2023-11-14 03:12:49.171373,Vehicles
74523,Transport Canada,Bus recalled by NEW FLYER,Powertrain,Bus,2023-11-01,2023-11-14 03:12:49.171373,Vehicles
74522,Transport Canada,SUV recalled by TOYOTA,Structure,SUV,2023-11-01,2023-11-14 03:12:49.171373,Vehicles
74520,Transport Canada,Restricted-Use Vehicle recalled by TEXTRON,Electrical,Restricted-Use Vehicle,2023-11-01,2023-11-14 03:12:49.171373,Vehicles
74531,Transport Canada,Equipment recalled by ALTEC INDUSTRIES,Other,Equipment,2023-11-01,2023-11-14 03:12:49.171373,Vehicles
74519,Transport Canada,Car recalled by PORSCHE,Airbag,Car,2023-11-01,2023-11-14 03:12:49.171373,Vehicles
74493,Canadian Food Inspection Agency,Vienna Sausage,Labelling and packaging,Meat and poultry,2023-11-01,2023-11-14 03:12:49.171373,Food
74128,Transport Canada,SUV recalled by NISSAN,Steering,SUV,2023-11-01,2023-11-14 03:12:49.171373,Vehicles
66162,Transport Canada,SUV recalled by KIA,Powertrain,SUV,2023-11-01,2023-11-14 03:12:49.171373,Vehicles
74513,Canadian Food Inspection Agency,Cantaloupes,Salmonella,Fruits and vegetables - Fresh,2023-11-01,2023-11-14 03:12:49.171373,Food
74511,Health Canada,VariSoft,Performance issue,Medical devices - General hospital and personal use,2023-11-01,2023-11-14 03:12:49.171373,Health products
74509,Health Canada,Phentolamine Mesylate,Establishment/Site licensing,Drugs,2023-11-01,2023-11-14 03:12:49.171373,Health products
74508,Health Canada,Evis Exera III Video System - Gastrointestinal Videoscope,Sterility Issue,Medical devices - General and plastic surgery,2023-11-01,2023-11-14 03:12:49.171373,Health products
74454,Canadian Food Inspection Agency,"Oyster Balls, Shrimp Balls, Shrimp Balls with Cheese, Litchi Shrimp Balls*","Egg, Fish, Gluten, Milk, Soy",Fish and seafood - Frozen,2023-11-01,2023-11-14 03:12:49.171373,Food
74530,Transport Canada,Car recalled by NISSAN,Structure,Car,2023-11-01,2023-11-14 03:12:49.171373,Vehicles
74512,Health Canada,"Cord blood currently banked at the Canadian Cord Blood bioRepository (CCBR), located in Edmonton, Alberta, that was collected, processed, tested, and/or stored anytime between March 1, 2014, and present.",Product safety,Biologic or vaccine,2023-11-01,2023-11-14 03:12:49.171373,Health products
74532,Transport Canada,RV Trailer recalled by ALLIANCE RV,Electrical,RV Trailer,2023-11-01,2023-11-14 03:12:49.171373,Vehicles
74533,Transport Canada,Car recalled by FORD,Lights And Instruments,Car,2023-11-01,2023-11-14 03:12:49.171373,Vehicles
74499,Health Canada,Battery Pack within certain Anker EverFrost Powered Coolers,Consumer products,Outdoor living,2023-11-01,2023-11-14 03:12:49.171373,Consumer products
74498,Health Canada,Honda Outboard Engine,Injury hazard,Outdoor living,2023-11-01,2023-11-14 03:12:49.171373,Consumer products
74525,Transport Canada,SUV recalled by FIAT CHRYSLER AUTOMOBILES,Seats And Restraints,SUV,2023-11-01,2023-11-14 03:12:49.171373,Vehicles
74504,Health Canada,VITROS® Systems,Performance issue,Medical devices - Chemistry,2023-10-31,2023-11-14 03:12:49.171373,Health products
74503,Health Canada,"Unauthorized health products, including drugs, natural health products and medical devices, sold online.","Product safety, Unauthorized product, Unauthorised device","Drugs, Health products - Natural health products, Health products - Medical devices",2023-10-31,2023-11-14 03:12:49.171373,Health products
74502,Health Canada,ETHEREA-MX® System,Labelling and packaging,"Medical devices - General and plastic surgery, Health products - Medical devices - General hospital and personal use",2023-10-31,2023-11-14 03:12:49.171373,Health products
74500,Health Canada,Karl Storz Injection Needles,Performance issue,"Medical devices - General and plastic surgery, Health products - Medical devices - Obstetrics and gynaecology",2023-10-31,2023-11-14 03:12:49.171373,Health products
74506,Canadian Food Inspection Agency,White Sliced Mushrooms,Listeria,Fruits and vegetables - Fresh,2023-10-31,2023-11-14 03:12:49.171373,Food
74488,Health Canada,Prolinen custom window coverings with ties,Strangulation hazard,Household items,2023-10-31,2023-11-14 03:12:49.171373,Consumer products
64611,Transport Canada,Light Truck & Van recalled by NISSAN,Powertrain,Light Truck & Van,2023-10-31,2023-11-14 03:12:49.171373,Vehicles
74257,Transport Canada,Motorcycle recalled by HARLEY-DAVIDSON,Accessories,Motorcycle,2023-10-31,2023-11-14 03:12:49.171373,Vehicles
73715,Transport Canada,SUV recalled by FORD,Visual System,SUV,2023-10-31,2023-11-14 03:12:49.171373,Vehicles
72274,Transport Canada,SUV recalled by FORD,Visual System,SUV,2023-10-31,2023-11-14 03:12:49.171373,Vehicles
65013,Transport Canada,SUV recalled by FORD,Fuel Supply,SUV,2023-10-31,2023-11-14 03:12:49.171373,Vehicles
64932,Transport Canada,Light Truck & Van recalled by FORD,Structure,Light Truck & Van,2023-10-31,2023-11-14 03:12:49.171373,Vehicles
64930,Transport Canada,SUV recalled by NISSAN,Lights And Instruments,SUV,2023-10-31,2023-11-14 03:12:49.171373,Vehicles
64831,Transport Canada,SUV recalled by FORD,Electrical,SUV,2023-10-31,2023-11-14 03:12:49.171373,Vehicles
64743,Transport Canada,Light Truck & Van recalled by NISSAN,Powertrain,Light Truck & Van,2023-10-31,2023-11-14 03:12:49.171373,Vehicles
74487,Health Canada,Kingdom of Comfort Linen Curtain Valance with Ties,Strangulation hazard,Household items,2023-10-31,2023-11-14 03:12:49.171373,Consumer products
74489,Health Canada,BalticLinenIdille custom window coverings with ties,Strangulation hazard,Household items,2023-10-31,2023-11-14 03:12:49.171373,Consumer products
74507,Transport Canada,Car recalled by KIA,Powertrain,Car,2023-10-30,2023-11-14 03:12:49.171373,Vehicles
74496,Health Canada,MAZOR™ X System,Performance issue,Medical devices - Orthopaedics,2023-10-30,2023-11-14 03:12:49.171373,Health products
74495,Health Canada,Med-Rx Medication/Primary Solution Administration Kit,Performance issue,Medical devices - General hospital and personal use,2023-10-30,2023-11-14 03:12:49.171373,Health products
74494,Health Canada,UHI-4 High Flow Insufflation System - Insufflator,Performance issue,Medical devices - General and plastic surgery,2023-10-30,2023-11-14 03:12:49.171373,Health products
74492,Health Canada,Alaris™ Syringe Pump MK4,Device compatibility,Medical devices - General hospital and personal use,2023-10-30,2023-11-14 03:12:49.171373,Health products
74491,Health Canada,BD Alaris™ Infusion Devices,Device compatibility,Medical devices - General hospital and personal use,2023-10-30,2023-11-14 03:12:49.171373,Health products
64745,Transport Canada,RV Trailer recalled by GRAND DESIGN RV,Electrical,RV Trailer,2023-10-30,2023-11-14 03:12:49.171373,Vehicles
64929,Transport Canada,RV Trailer recalled by GRAND DESIGN RV,Electrical,RV Trailer,2023-10-30,2023-11-14 03:12:49.171373,Vehicles
73482,Transport Canada,RV Trailer recalled by GRAND DESIGN RV,Label,RV Trailer,2023-10-30,2023-11-14 03:12:49.171373,Vehicles
73906,Transport Canada,RV Trailer recalled by GRAND DESIGN RV,Label,RV Trailer,2023-10-30,2023-11-14 03:12:49.171373,Vehicles
73947,Transport Canada,RV Trailer recalled by GRAND DESIGN RV,Wheels,RV Trailer,2023-10-30,2023-11-14 03:12:49.171373,Vehicles
64641,Transport Canada,RV Trailer recalled by GRAND DESIGN RV,Accessories,RV Trailer,2023-10-30,2023-11-14 03:12:49.171373,Vehicles
74032,Transport Canada,RV Trailer recalled by GRAND DESIGN RV,Suspension,RV Trailer,2023-10-30,2023-11-14 03:12:49.171373,Vehicles
73301,Transport Canada,RV Trailer recalled by GRAND DESIGN RV,Label,RV Trailer,2023-10-30,2023-11-14 03:12:49.171373,Vehicles
74007,Transport Canada,SUV recalled by TOYOTA,Electrical,SUV,2023-10-30,2023-11-14 03:12:49.171373,Vehicles
74505,Canadian Food Inspection Agency,Oysters,Vibrio parahaemolyticus,Fish and seafood - Fresh,2023-10-28,2023-11-14 03:12:49.171373,Food
74469,Health Canada,Borax packet included in all Slime Smoothies by Rahma,Chemical hazard,Toys and games,2023-10-27,2023-11-14 03:12:49.171373,Consumer products
74471,Health Canada,PURE RESIN Brand Epoxy Resin Kits,Labelling and packaging,Chemicals,2023-10-27,2023-11-14 03:12:49.171373,Consumer products
72723,Transport Canada,SUV recalled by TOYOTA,Powertrain,SUV,2023-10-27,2023-11-14 03:12:49.171373,Vehicles
65949,Transport Canada,SUV recalled by TOYOTA,Lights And Instruments,SUV,2023-10-27,2023-11-14 03:12:49.171373,Vehicles
64701,Transport Canada,SUV recalled by TOYOTA,Seats And Restraints,SUV,2023-10-27,2023-11-14 03:12:49.171373,Vehicles
64645,Transport Canada,RV Trailer recalled by KEYSTONE,Accessories,RV Trailer,2023-10-27,2023-11-14 03:12:49.171373,Vehicles
73848,Canadian Food Inspection Agency,Caffeinated Energy Drinks and Mixes,Chemical,Beverages - Non-alcoholic,2023-10-27,2023-11-14 03:12:49.171373,Food
74472,Health Canada,"Topdeal Baby Feeding Nursing Pillow, Portable Breast Feeding Pillows, with two curved handles, for kids",Choking hazard,Other,2023-10-27,2023-11-14 03:12:49.171373,Consumer products
74477,Health Canada,Quicksilver Corrosion Guard and Quicksilver Light Gray Primer Spray Paint,Labelling and packaging,Chemicals,2023-10-27,2023-11-14 03:12:49.171373,Consumer products
74467,Health Canada,COWS Youth Terry Spots Hoody,Strangulation hazard,Clothing and accessories - Clothing,2023-10-27,2023-11-14 03:12:49.171373,Consumer products
74478,Health Canada,Creativity for Kids DIY Glowing Squishy Slime and Magical Mixing,Chemical hazard,Toys and games,2023-10-27,2023-11-14 03:12:49.171373,Consumer products
74430,Health Canada,Insignia™ Multi-Function Pressure Cookers,Burn hazard,Appliances,2023-10-26,2023-11-14 03:12:49.171373,Consumer products
74535,Canadian Food Inspection Agency,Ketocal 4:1 LQ Unflavoured,Labelling and packaging,Other,2023-10-26,2023-11-14 03:12:49.171373,Food
74470,Health Canada,Bobcat and Kubota branded stand-on zero-turn lawnmowers,Injury hazard,Other,2023-10-26,2023-11-14 03:12:49.171373,Consumer products
72292,Transport Canada,Truck - Med. & H.D. recalled by EMERGENCY ONE,Other,Truck - Med. & H.D.,2023-10-25,2023-11-14 03:12:49.171373,Vehicles
74486,Transport Canada,Truck - Med. & H.D. recalled by MACK,Steering,Truck - Med. & H.D.,2023-10-25,2023-11-14 03:12:49.171373,Vehicles
72043,Transport Canada,Competition Vehicle recalled by KTM,Engine,Competition Vehicle,2023-10-25,2023-11-14 03:12:49.171373,Vehicles
65003,Transport Canada,Truck - Med. & H.D. recalled by EMERGENCY ONE,Powertrain,Truck - Med. & H.D.,2023-10-25,2023-11-14 03:12:49.171373,Vehicles
74479,Transport Canada,Car recalled by HONDA,Steering,Car,2023-10-25,2023-11-14 03:12:49.171373,Vehicles
72391,Transport Canada,Motorcycle recalled by KTM,Electrical,Motorcycle,2023-10-25,2023-11-14 03:12:49.171373,Vehicles
74480,Transport Canada,SUV recalled by GENERAL MOTORS,Powertrain,SUV,2023-10-25,2023-11-14 03:12:49.171373,Vehicles
64813,Transport Canada,Truck - Med. & H.D. recalled by EMERGENCY ONE,Electrical,Truck - Med. & H.D.,2023-10-25,2023-11-14 03:12:49.171373,Vehicles
74476,Canadian Food Inspection Agency,"""Champignon Énoki"" (Enoki Mushrooms)",Listeria,Fruits and vegetables - Fresh,2023-10-25,2023-11-14 03:12:49.171373,Food
74483,Transport Canada,Motorhome recalled by FOREST RIVER,Suspension,Motorhome,2023-10-25,2023-11-14 03:12:49.171373,Vehicles
64689,Transport Canada,Truck - Med. & H.D. recalled by EMERGENCY ONE,Electrical,Truck - Med. & H.D.,2023-10-25,2023-11-14 03:12:49.171373,Vehicles
74482,Transport Canada,Motorhome recalled by FOREST RIVER,Structure,Motorhome,2023-10-25,2023-11-14 03:12:49.171373,Vehicles
74474,Health Canada,Semintra,Product quality,Veterinary drugs,2023-10-25,2023-11-14 03:12:49.171373,Health products
74473,Health Canada,Unauthorized health products labelled to contain medicinal drugs,"Product safety, Unauthorized product",,2023-10-25,2023-11-14 03:12:49.171373,Health products
74468,Health Canada,Various Will & You Children’s Outerwear Tops,Entanglement hazard,Clothing and accessories - Clothing,2023-10-25,2023-11-14 03:12:49.171373,Consumer products
65166,Transport Canada,Equipment recalled by CUMMINS,Electrical,Equipment,2023-10-24,2023-11-14 03:12:49.171373,Vehicles
74475,Canadian Food Inspection Agency,Lac St-Jean Tourtiere,Sulphites,Multiple food items,2023-10-24,2023-11-14 03:12:49.171373,Food
64762,Transport Canada,School Bus recalled by BLUE BIRD,Brakes,School Bus,2023-10-24,2023-11-14 03:12:49.171373,Vehicles
64712,Transport Canada,Motor Tricycle recalled by BOMBARDIER RECREATIONAL PRODUCTS,Steering,Motor Tricycle,2023-10-24,2023-11-14 03:12:49.171373,Vehicles
64658,Transport Canada,School Bus recalled by BLUE BIRD,Fuel Supply,School Bus,2023-10-24,2023-11-14 03:12:49.171373,Vehicles
64657,Transport Canada,Bus recalled by BLUE BIRD,Fuel Supply,Bus,2023-10-24,2023-11-14 03:12:49.171373,Vehicles
74354,Transport Canada,Car recalled by KIA,Fuel Supply,Car,2023-10-24,2023-11-14 03:12:49.171373,Vehicles
64879,Transport Canada,RV Trailer recalled by KEYSTONE,Accessories,RV Trailer,2023-10-24,2023-11-14 03:12:49.171373,Vehicles
73775,Transport Canada,RV Trailer recalled by KEYSTONE,Structure,RV Trailer,2023-10-24,2023-11-14 03:12:49.171373,Vehicles
64863,Transport Canada,Bus recalled by BLUE BIRD,Fuel Supply,Bus,2023-10-24,2023-11-14 03:12:49.171373,Vehicles
