recall_id,organization,product_name,issue,category,updated_at,data_received_at
74501,Health Canada,"Various Armada, Atomic, and Salomon brand ski bindings",Fall hazard,Consumer products - Sports and fitness,2023-11-02,2023-11-14 03:12:49.171373
74153,Health Canada,"Sabril (vigabatrin) 500 mg sachets, DIN 02068036, lots 3209710A and 3207333A.  UPDATED September and November 2023 to add additional lots/products (see table).",Contamination,Health products - Drugs - Radiopharmaceuticals,2023-11-09,2023-11-14 03:12:49.171373
74572,Health Canada,NIV Angled Mouthpiece with Notch 22F/15F,Performance issue,Health products - Medical devices - Anaesthesiology,2023-11-09,2023-11-14 03:12:49.171373
74573,Health Canada,BD Infusion Sets,Labelling and packaging,"Health products - Medical devices - Dental, Health products - Medical devices - General hospital and personal use",2023-11-09,2023-11-14 03:12:49.171373
74574,Health Canada,ASAP OTC Wound Dressing Gel,Labelling,Health products - Natural health products,2023-11-09,2023-11-14 03:12:49.171373
74575,Health Canada,Biofire® Filmarray® Torch System Base,Performance issue,Health products - Medical devices - Chemistry,2023-11-09,2023-11-14 03:12:49.171373
74571,Health Canada,JAMP-ASA EC,Product quality,Health products - Drugs,2023-11-08,2023-11-14 03:12:49.171373
66832,Transport Canada,Car recalled by BMW,Seats And Restraints,Vehicles - Car,2023-11-07,2023-11-14 03:12:49.171373
74052,Transport Canada,Snowmobile recalled by POLARIS,Powertrain,Vehicles - Snowmobile,2023-11-07,2023-11-14 03:12:49.171373
74424,Transport Canada,Motorcycle recalled by HARLEY-DAVIDSON,Brakes,Vehicles - Motorcycle,2023-11-07,2023-11-14 03:12:49.171373
74567,Canadian Food Inspection Agency,Assorted Chikkis,Extraneous Material,"Food - Candy, confectionary, snacks and sweeteners",2023-11-06,2023-11-14 03:12:49.171373
74569,Health Canada,PRO-AAS EC 80,Product quality,Health products - Drugs,2023-11-08,2023-11-14 03:12:49.171373
74568,Health Canada,Vitrakvi,Contamination,Health products - Drugs,2023-11-08,2023-11-14 03:12:49.171373
74565,Health Canada,Alphenix INFX-8000v - Main Unit,Performance issue,Health products - Medical devices - Radiology,2023-11-08,2023-11-14 03:12:49.171373
74564,Health Canada,Poches À Sang Quadruple,Performance issue,Health products - Medical devices - Haematology,2023-11-08,2023-11-14 03:12:49.171373
74563,Health Canada,Novum Iq Large Volume Pump Unapproved Adhesive,Performance issue,Health products - Medical devices - General hospital and personal use,2023-11-08,2023-11-14 03:12:49.171373
73357,Health Canada,Various unauthorized health products promoted for sexual enhancement,Unauthorized product,Health products - Drugs,2023-11-08,2023-11-14 03:12:49.171373
74539,Canadian Food Inspection Agency,Shrimp Paste,"Egg, Fish, Soy",Food - Fish and seafood - Frozen,2023-11-08,2023-11-14 03:12:49.171373
74562,Health Canada,Novum Iq Large Volume Pump Operator's Manual,Performance issue,Health products - Medical devices - General hospital and personal use,2023-11-08,2023-11-14 03:12:49.171373
74561,Canadian Food Inspection Agency,"""Champignon Énoki"" (Enoki Mushrooms)",Listeria,Food - Fruits and vegetables - Fresh,2023-11-08,2023-11-14 03:12:49.171373
64918,Transport Canada,Restricted-Use Vehicle recalled by POLARIS,Electrical,Vehicles - Restricted-Use Vehicle,2023-11-06,2023-11-14 03:12:49.171373
74541,Transport Canada,Truck - Med. & H.D. recalled by MACK,Engine,Vehicles - Truck - Med. & H.D.,2023-11-06,2023-11-14 03:12:49.171373
72109,Transport Canada,Motorhome recalled by WINNEBAGO INDUSTRIES,Accessories,Vehicles - Motorhome,2023-11-06,2023-11-14 03:12:49.171373
71654,Transport Canada,Car recalled by BMW,Brakes,Vehicles - Car,2023-11-06,2023-11-14 03:12:49.171373
66640,Transport Canada,Car recalled by BMW,Visual System,Vehicles - Car,2023-11-06,2023-11-14 03:12:49.171373
65202,Transport Canada,Car recalled by BMW,Visual System,Vehicles - Car,2023-11-06,2023-11-14 03:12:49.171373
64670,Transport Canada,Motorcycle recalled by POLARIS,Lights And Instruments,Vehicles - Motorcycle,2023-11-06,2023-11-14 03:12:49.171373
74566,Canadian Food Inspection Agency,Mushroom Soup Mixes,Sulphites,Food - Multiple food items,2023-11-03,2023-11-14 03:12:49.171373
74560,Canadian Food Inspection Agency,Apricot Halves in Light Syrup,Chemical,Food - Fruits and vegetables - Canned,2023-11-02,2023-11-14 03:12:49.171373
74552,Health Canada,"Elekta Infinity, Elekta Synergy and Versa Hd",Performance issue,Health products - Medical devices - Radiology,2023-11-07,2023-11-14 03:12:49.171373
74553,Health Canada,Infusomat® Administration Sets,Device compatibility,Health products - Medical devices - General hospital and personal use,2023-11-07,2023-11-14 03:12:49.171373
74554,Health Canada,Safe-T-Vue 10,Labelling and packaging,Health products - Medical devices - Cardiovascular,2023-11-07,2023-11-14 03:12:49.171373
74555,Health Canada,Novum Iq Large Volume Pump Keypads,Performance issue,Health products - Medical devices - General hospital and personal use,2023-11-07,2023-11-14 03:12:49.171373
74559,Canadian Food Inspection Agency,Coconut Cake Powder,Extraneous Material,"Food - Candy, confectionary, snacks and sweeteners",2023-11-02,2023-11-14 03:12:49.171373
64987,Transport Canada,SUV recalled by BMW,Engine,"Vehicles - Car, Vehicles - SUV",2023-09-07,2023-11-14 03:12:49.171373
64011,Health Canada,Optima MR450w,Increased risk or new adverse events,Health products - Medical devices - Radiology,2022-03-21,2023-11-14 03:12:49.171373
64013,Health Canada,Optima MR360,Increased risk or new adverse events,Health products - Medical devices - Radiology,2022-03-21,2023-11-14 03:12:49.171373
63992,Health Canada,Compella,Electrical Defect,Health products - Medical devices - Physical medicine,2022-03-14,2023-11-14 03:12:49.171373
63996,Health Canada,Med-Rx Medication/Primary Solution Administration Kit,Quality issue,Health products - Medical devices - General hospital and personal use,2022-03-14,2023-11-14 03:12:49.171373
63997,Health Canada,Infinity Centralstation Wide,Software defect,Health products - Medical devices - General hospital and personal use,2022-03-14,2023-11-14 03:12:49.171373
63998,Health Canada,Rotawire Drive Guidewire And Wireclip Torquer,Quality issue,Health products - Medical devices - Cardiovascular,2022-03-14,2023-11-14 03:12:49.171373
74549,Health Canada,Artis Icono Ceiling,Performance issue,Health products - Medical devices - Radiology,2023-11-06,2023-11-14 03:12:49.171373
74548,Health Canada,Gem Paks,Performance issue,Health products - Medical devices - Chemistry,2023-11-06,2023-11-14 03:12:49.171373
74547,Health Canada,Braun Spike Adapter and Universal Fill Kit,Performance issue,Health products - Medical devices - General hospital and personal use,2023-11-06,2023-11-14 03:12:49.171373
74546,Health Canada,Rainbow Adhesive Sensors,Performance issue,Health products - Medical devices - Anaesthesiology,2023-11-06,2023-11-14 03:12:49.171373
74545,Health Canada,Achieva 1.5t MRI System-Main Unit,Performance issue,Health products - Medical devices - Radiology,2023-11-06,2023-11-14 03:12:49.171373
74518,Health Canada,"Baby Feeding Nursing Pillow, Portable Breast Feeding Pillows, with two curved handles, for kids",Choking hazard,Consumer products - Other,2023-11-03,2023-11-14 03:12:49.171373
74497,Health Canada,"Certain Epic brand residential condensing boilers, combi boilers and packaged systems",Poisoning hazard,Consumer products - Appliances,2023-11-02,2023-11-14 03:12:49.171373
74498,Health Canada,Honda Outboard Engine,Injury hazard,Consumer products - Outdoor living,2023-11-01,2023-11-14 03:12:49.171373
74499,Health Canada,Battery Pack within certain Anker EverFrost Powered Coolers,Consumer products,Consumer products - Outdoor living,2023-11-01,2023-11-14 03:12:49.171373
74489,Health Canada,BalticLinenIdille custom window coverings with ties,Strangulation hazard,Consumer products - Household items,2023-10-31,2023-11-14 03:12:49.171373
74488,Health Canada,Prolinen custom window coverings with ties,Strangulation hazard,Consumer products - Household items,2023-10-31,2023-11-14 03:12:49.171373
74487,Health Canada,Kingdom of Comfort Linen Curtain Valance with Ties,Strangulation hazard,Consumer products - Household items,2023-10-31,2023-11-14 03:12:49.171373
74477,Health Canada,Quicksilver Corrosion Guard and Quicksilver Light Gray Primer Spray Paint,Labelling and packaging,Consumer products - Chemicals,2023-10-27,2023-11-14 03:12:49.171373
74469,Health Canada,Borax packet included in all Slime Smoothies by Rahma,Chemical hazard,Consumer products - Toys and games,2023-10-27,2023-11-14 03:12:49.171373
73103,Health Canada,Various unauthorized health products promoted for lightening skin or treating skin conditions (such as eczema or psoriasis),Unauthorized product,Health products - Drugs,2023-10-06,2023-11-14 03:12:49.171373
74080,Transport Canada,Truck - Med. & H.D. recalled by DAIMLER TRUCK NORTH AMERICA,Powertrain,"Vehicles - Truck - Med. & H.D., Vehicles - Bus",2023-09-06,2023-11-14 03:12:49.171373
73745,Transport Canada,Motorhome recalled by TIFFIN,Electrical,Vehicles - Motorhome,2023-11-03,2023-11-14 03:12:49.171373
74544,Transport Canada,RV Trailer recalled by FOREST RIVER,Lights And Instruments,Vehicles - RV Trailer,2023-11-03,2023-11-14 03:12:49.171373
74542,Transport Canada,SUV recalled by TOYOTA,Electrical,Vehicles - SUV,2023-11-03,2023-11-14 03:12:49.171373
74540,Transport Canada,Motorcycle recalled by TRIUMPH,Brakes,Vehicles - Motorcycle,2023-11-03,2023-11-14 03:12:49.171373
74299,Transport Canada,Car recalled by NISSAN,Visual System,Vehicles - Car,2023-11-03,2023-11-14 03:12:49.171373
73843,Transport Canada,Motorhome recalled by TIFFIN,Electrical,Vehicles - Motorhome,2023-11-03,2023-11-14 03:12:49.171373
65306,Transport Canada,RV Trailer recalled by JAYCO,Accessories,Vehicles - RV Trailer,2023-11-03,2023-11-14 03:12:49.171373
72270,Transport Canada,Motorhome recalled by TIFFIN,Suspension,Vehicles - Motorhome,2023-11-03,2023-11-14 03:12:49.171373
65493,Transport Canada,RV Trailer recalled by JAYCO,Accessories,Vehicles - RV Trailer,2023-11-03,2023-11-14 03:12:49.171373
65492,Transport Canada,RV Trailer recalled by JAYCO,Accessories,Vehicles - RV Trailer,2023-11-03,2023-11-14 03:12:49.171373
65491,Transport Canada,RV Trailer recalled by JAYCO,Accessories,Vehicles - RV Trailer,2023-11-03,2023-11-14 03:12:49.171373
65487,Transport Canada,Car recalled by NISSAN,Powertrain,Vehicles - Car,2023-11-03,2023-11-14 03:12:49.171373
65308,Transport Canada,RV Trailer recalled by JAYCO,Accessories,Vehicles - RV Trailer,2023-11-03,2023-11-14 03:12:49.171373
65307,Transport Canada,RV Trailer recalled by JAYCO,Accessories,Vehicles - RV Trailer,2023-11-03,2023-11-14 03:12:49.171373
73962,Transport Canada,Bus recalled by PREVOST,Lights And Instruments,"Vehicles - Bus, Vehicles - Motorhome",2023-09-05,2023-11-14 03:12:49.171373
74249,Transport Canada,SUV recalled by FORD,Visual System,"Vehicles - Light Truck & Van, Vehicles - SUV",2023-09-05,2023-11-14 03:12:49.171373
64707,Transport Canada,Motorhome recalled by TIFFIN,Accessories,Vehicles - Motorhome,2023-11-02,2023-11-14 03:12:49.171373
64709,Transport Canada,Motorhome recalled by TIFFIN,Lights And Instruments,Vehicles - Motorhome,2023-11-02,2023-11-14 03:12:49.171373
64771,Transport Canada,SUV recalled by NISSAN,Structure,Vehicles - SUV,2023-11-02,2023-11-14 03:12:49.171373
64878,Transport Canada,Motorhome recalled by TIFFIN,Structure,Vehicles - Motorhome,2023-11-02,2023-11-14 03:12:49.171373
65022,Transport Canada,Motorhome recalled by TIFFIN,Structure,Vehicles - Motorhome,2023-11-02,2023-11-14 03:12:49.171373
65023,Transport Canada,Motorhome recalled by TIFFIN,Electrical,Vehicles - Motorhome,2023-11-02,2023-11-14 03:12:49.171373
65072,Transport Canada,Motorhome recalled by TIFFIN,Lights And Instruments,Vehicles - Motorhome,2023-11-02,2023-11-14 03:12:49.171373
65124,Transport Canada,Motorhome recalled by TIFFIN,Wheels,Vehicles - Motorhome,2023-11-02,2023-11-14 03:12:49.171373
65328,Transport Canada,Motorhome recalled by TIFFIN,Seats And Restraints,Vehicles - Motorhome,2023-11-02,2023-11-14 03:12:49.171373
65567,Transport Canada,Motorhome recalled by TIFFIN,Powertrain,Vehicles - Motorhome,2023-11-02,2023-11-14 03:12:49.171373
74485,Transport Canada,School Bus recalled by LION ÉLECTRIQUE,Brakes,Vehicles - School Bus,2023-11-02,2023-11-14 03:12:49.171373
74538,Health Canada,Pink Cherry Health Products,Unauthorized product,Health products - Drugs,2023-11-03,2023-11-14 03:12:49.171373
74536,Canadian Food Inspection Agency,Chocolate Croissant,Tree nut,Food - Grain products,2023-11-03,2023-11-14 03:12:49.171373
74525,Transport Canada,SUV recalled by FIAT CHRYSLER AUTOMOBILES,Seats And Restraints,Vehicles - SUV,2023-11-01,2023-11-14 03:12:49.171373
74533,Transport Canada,Car recalled by FORD,Lights And Instruments,Vehicles - Car,2023-11-01,2023-11-14 03:12:49.171373
74532,Transport Canada,RV Trailer recalled by ALLIANCE RV,Electrical,Vehicles - RV Trailer,2023-11-01,2023-11-14 03:12:49.171373
74531,Transport Canada,Equipment recalled by ALTEC INDUSTRIES,Other,Vehicles - Equipment,2023-11-01,2023-11-14 03:12:49.171373
74530,Transport Canada,Car recalled by NISSAN,Structure,Vehicles - Car,2023-11-01,2023-11-14 03:12:49.171373
74529,Transport Canada,Car recalled by FERRARI,Engine,Vehicles - Car,2023-11-01,2023-11-14 03:12:49.171373
74528,Transport Canada,SUV recalled by MAZDA,Powertrain,Vehicles - SUV,2023-11-01,2023-11-14 03:12:49.171373
74526,Transport Canada,"Car recalled by LUCID MOTORS, INC.",Electrical,Vehicles - Car,2023-11-01,2023-11-14 03:12:49.171373
65278,Transport Canada,Motorcycle recalled by DUCATI,Structure,Vehicles - Motorcycle,2023-11-01,2023-11-14 03:12:49.171373
74524,Transport Canada,SUV recalled by SUBARU,Engine,Vehicles - SUV,2023-11-01,2023-11-14 03:12:49.171373
74523,Transport Canada,Bus recalled by NEW FLYER,Powertrain,Vehicles - Bus,2023-11-01,2023-11-14 03:12:49.171373
74522,Transport Canada,SUV recalled by TOYOTA,Structure,Vehicles - SUV,2023-11-01,2023-11-14 03:12:49.171373
74521,Transport Canada,Truck - Med. & H.D. recalled by PACCAR,Seats And Restraints,Vehicles - Truck - Med. & H.D.,2023-11-01,2023-11-14 03:12:49.171373
74520,Transport Canada,Restricted-Use Vehicle recalled by TEXTRON,Electrical,Vehicles - Restricted-Use Vehicle,2023-11-01,2023-11-14 03:12:49.171373
74519,Transport Canada,Car recalled by PORSCHE,Airbag,Vehicles - Car,2023-11-01,2023-11-14 03:12:49.171373
74493,Canadian Food Inspection Agency,Vienna Sausage,Labelling and packaging,Food - Meat and poultry,2023-11-01,2023-11-14 03:12:49.171373
74128,Transport Canada,SUV recalled by NISSAN,Steering,Vehicles - SUV,2023-11-01,2023-11-14 03:12:49.171373
66162,Transport Canada,SUV recalled by KIA,Powertrain,Vehicles - SUV,2023-11-01,2023-11-14 03:12:49.171373
74535,Canadian Food Inspection Agency,Ketocal 4:1 LQ Unflavoured,Labelling and packaging,Food - Other,2023-10-26,2023-11-14 03:12:49.171373
74514,Health Canada,CardioMEMS™ Patient Electronics System,Performance issue,Health products - Medical devices - Cardiovascular,2023-11-02,2023-11-14 03:12:49.171373
74515,Health Canada,Ge Healthcare Universal Viewer,Performance issue,Health products - Medical devices - Radiology,2023-11-02,2023-11-14 03:12:49.171373
74516,Health Canada,Change Healthcare Radiology Solutions™,Performance issue,Health products - Medical devices - General hospital and personal use,2023-11-02,2023-11-14 03:12:49.171373
74517,Health Canada,FLUDEOXYGLUCOSE (18F) INJECTION,Product quality,Health products - Drugs,2023-11-02,2023-11-14 03:12:49.171373
74512,Health Canada,"Cord blood currently banked at the Canadian Cord Blood bioRepository (CCBR), located in Edmonton, Alberta, that was collected, processed, tested, and/or stored anytime between March 1, 2014, and present.",Product safety,Health products - Biologic or vaccine,2023-11-01,2023-11-14 03:12:49.171373
74513,Canadian Food Inspection Agency,Cantaloupes,Salmonella,Food - Fruits and vegetables - Fresh,2023-11-01,2023-11-14 03:12:49.171373
64611,Transport Canada,Light Truck & Van recalled by NISSAN,Powertrain,Vehicles - Light Truck & Van,2023-10-31,2023-11-14 03:12:49.171373
64743,Transport Canada,Light Truck & Van recalled by NISSAN,Powertrain,Vehicles - Light Truck & Van,2023-10-31,2023-11-14 03:12:49.171373
64831,Transport Canada,SUV recalled by FORD,Electrical,Vehicles - SUV,2023-10-31,2023-11-14 03:12:49.171373
64930,Transport Canada,SUV recalled by NISSAN,Lights And Instruments,Vehicles - SUV,2023-10-31,2023-11-14 03:12:49.171373
64932,Transport Canada,Light Truck & Van recalled by FORD,Structure,Vehicles - Light Truck & Van,2023-10-31,2023-11-14 03:12:49.171373
65013,Transport Canada,SUV recalled by FORD,Fuel Supply,Vehicles - SUV,2023-10-31,2023-11-14 03:12:49.171373
72274,Transport Canada,SUV recalled by FORD,Visual System,Vehicles - SUV,2023-10-31,2023-11-14 03:12:49.171373
73715,Transport Canada,SUV recalled by FORD,Visual System,Vehicles - SUV,2023-10-31,2023-11-14 03:12:49.171373
74257,Transport Canada,Motorcycle recalled by HARLEY-DAVIDSON,Accessories,Vehicles - Motorcycle,2023-10-31,2023-11-14 03:12:49.171373
74511,Health Canada,VariSoft,Performance issue,Health products - Medical devices - General hospital and personal use,2023-11-01,2023-11-14 03:12:49.171373
74510,Health Canada,Philips Brilliance CT Big Bore System,Performance issue,Health products - Medical devices - Radiology,2023-11-01,2023-11-14 03:12:49.171373
74509,Health Canada,Phentolamine Mesylate,Establishment/Site licensing,Health products - Drugs,2023-11-01,2023-11-14 03:12:49.171373
74508,Health Canada,Evis Exera III Video System - Gastrointestinal Videoscope,Sterility Issue,Health products - Medical devices - General and plastic surgery,2023-11-01,2023-11-14 03:12:49.171373
74454,Canadian Food Inspection Agency,"Oyster Balls, Shrimp Balls, Shrimp Balls with Cheese, Litchi Shrimp Balls*","Egg, Fish, Gluten, Milk, Soy",Food - Fish and seafood - Frozen,2023-11-01,2023-11-14 03:12:49.171373
74007,Transport Canada,SUV recalled by TOYOTA,Electrical,Vehicles - SUV,2023-10-30,2023-11-14 03:12:49.171373
74507,Transport Canada,Car recalled by KIA,Powertrain,Vehicles - Car,2023-10-30,2023-11-14 03:12:49.171373
74032,Transport Canada,RV Trailer recalled by GRAND DESIGN RV,Suspension,Vehicles - RV Trailer,2023-10-30,2023-11-14 03:12:49.171373
64641,Transport Canada,RV Trailer recalled by GRAND DESIGN RV,Accessories,Vehicles - RV Trailer,2023-10-30,2023-11-14 03:12:49.171373
73947,Transport Canada,RV Trailer recalled by GRAND DESIGN RV,Wheels,Vehicles - RV Trailer,2023-10-30,2023-11-14 03:12:49.171373
73906,Transport Canada,RV Trailer recalled by GRAND DESIGN RV,Label,Vehicles - RV Trailer,2023-10-30,2023-11-14 03:12:49.171373
73482,Transport Canada,RV Trailer recalled by GRAND DESIGN RV,Label,Vehicles - RV Trailer,2023-10-30,2023-11-14 03:12:49.171373
73301,Transport Canada,RV Trailer recalled by GRAND DESIGN RV,Label,Vehicles - RV Trailer,2023-10-30,2023-11-14 03:12:49.171373
64929,Transport Canada,RV Trailer recalled by GRAND DESIGN RV,Electrical,Vehicles - RV Trailer,2023-10-30,2023-11-14 03:12:49.171373
64745,Transport Canada,RV Trailer recalled by GRAND DESIGN RV,Electrical,Vehicles - RV Trailer,2023-10-30,2023-11-14 03:12:49.171373
65150,Transport Canada,Light Truck & Van recalled by TOYOTA,Electrical,"Vehicles - Car, Vehicles - Light Truck & Van, Vehicles - Minivan, Vehicles - SUV",2023-09-01,2023-11-14 03:12:49.171373
74500,Health Canada,Karl Storz Injection Needles,Performance issue,"Health products - Medical devices - General and plastic surgery, Health products - Medical devices - Obstetrics and gynaecology",2023-10-31,2023-11-14 03:12:49.171373
74502,Health Canada,ETHEREA-MX® System,Labelling and packaging,"Health products - Medical devices - General and plastic surgery, Health products - Medical devices - General hospital and personal use",2023-10-31,2023-11-14 03:12:49.171373
74503,Health Canada,"Unauthorized health products, including drugs, natural health products and medical devices, sold online.","Product safety, Unauthorized product, Unauthorised device","Health products - Drugs, Health products - Natural health products, Health products - Medical devices",2023-10-31,2023-11-14 03:12:49.171373
74504,Health Canada,VITROS® Systems,Performance issue,Health products - Medical devices - Chemistry,2023-10-31,2023-11-14 03:12:49.171373
74506,Canadian Food Inspection Agency,White Sliced Mushrooms,Listeria,Food - Fruits and vegetables - Fresh,2023-10-31,2023-11-14 03:12:49.171373
74505,Canadian Food Inspection Agency,Oysters,Vibrio parahaemolyticus,Food - Fish and seafood - Fresh,2023-10-28,2023-11-14 03:12:49.171373
74054,Transport Canada,Light Truck & Van recalled by FORD,Other,"Vehicles - Light Truck & Van, Vehicles - Truck - Med. & H.D.",2023-08-31,2023-11-14 03:12:49.171373
74491,Health Canada,BD Alaris™ Infusion Devices,Device compatibility,Health products - Medical devices - General hospital and personal use,2023-10-30,2023-11-14 03:12:49.171373
74492,Health Canada,Alaris™ Syringe Pump MK4,Device compatibility,Health products - Medical devices - General hospital and personal use,2023-10-30,2023-11-14 03:12:49.171373
74494,Health Canada,UHI-4 High Flow Insufflation System - Insufflator,Performance issue,Health products - Medical devices - General and plastic surgery,2023-10-30,2023-11-14 03:12:49.171373
74495,Health Canada,Med-Rx Medication/Primary Solution Administration Kit,Performance issue,Health products - Medical devices - General hospital and personal use,2023-10-30,2023-11-14 03:12:49.171373
74496,Health Canada,MAZOR™ X System,Performance issue,Health products - Medical devices - Orthopaedics,2023-10-30,2023-11-14 03:12:49.171373
64645,Transport Canada,RV Trailer recalled by KEYSTONE,Accessories,Vehicles - RV Trailer,2023-10-27,2023-11-14 03:12:49.171373
64701,Transport Canada,SUV recalled by TOYOTA,Seats And Restraints,Vehicles - SUV,2023-10-27,2023-11-14 03:12:49.171373
65949,Transport Canada,SUV recalled by TOYOTA,Lights And Instruments,Vehicles - SUV,2023-10-27,2023-11-14 03:12:49.171373
72723,Transport Canada,SUV recalled by TOYOTA,Powertrain,Vehicles - SUV,2023-10-27,2023-11-14 03:12:49.171373
64802,Transport Canada,Truck - Med. & H.D. recalled by FORD,Visual System,"Vehicles - Light Truck & Van, Vehicles - Truck - Med. & H.D.",2023-08-28,2023-11-14 03:12:49.171373
74232,Transport Canada,SUV recalled by GENERAL MOTORS,Lights And Instruments,"Vehicles - Light Truck & Van, Vehicles - SUV",2023-08-28,2023-11-14 03:12:49.171373
74478,Health Canada,Creativity for Kids DIY Glowing Squishy Slime and Magical Mixing,Chemical hazard,Consumer products - Toys and games,2023-10-27,2023-11-14 03:12:49.171373
74472,Health Canada,"Topdeal Baby Feeding Nursing Pillow, Portable Breast Feeding Pillows, with two curved handles, for kids",Choking hazard,Consumer products - Other,2023-10-27,2023-11-14 03:12:49.171373
74471,Health Canada,PURE RESIN Brand Epoxy Resin Kits,Labelling and packaging,Consumer products - Chemicals,2023-10-27,2023-11-14 03:12:49.171373
73848,Canadian Food Inspection Agency,Caffeinated Energy Drinks and Mixes,Chemical,Food - Beverages - Non-alcoholic,2023-10-27,2023-11-14 03:12:49.171373
74467,Health Canada,COWS Youth Terry Spots Hoody,Strangulation hazard,Consumer products - Clothing and accessories - Clothing,2023-10-27,2023-11-14 03:12:49.171373
74430,Health Canada,Insignia™ Multi-Function Pressure Cookers,Burn hazard,Consumer products - Appliances,2023-10-26,2023-11-14 03:12:49.171373
74470,Health Canada,Bobcat and Kubota branded stand-on zero-turn lawnmowers,Injury hazard,Consumer products - Other,2023-10-26,2023-11-14 03:12:49.171373
74486,Transport Canada,Truck - Med. & H.D. recalled by MACK,Steering,Vehicles - Truck - Med. & H.D.,2023-10-25,2023-11-14 03:12:49.171373
74479,Transport Canada,Car recalled by HONDA,Steering,Vehicles - Car,2023-10-25,2023-11-14 03:12:49.171373
74480,Transport Canada,SUV recalled by GENERAL MOTORS,Powertrain,Vehicles - SUV,2023-10-25,2023-11-14 03:12:49.171373
74482,Transport Canada,Motorhome recalled by FOREST RIVER,Structure,Vehicles - Motorhome,2023-10-25,2023-11-14 03:12:49.171373
